Ref,Val,Package,PosX,PosY,Rot,Side
"C1001","10uF","Cap_0805_2012Metric",222.500000,-251.500000,90.000000,top
"C1002","10uF","Cap_0805_2012Metric",227.500000,-251.500000,90.000000,top
"C1003","10uF","Cap_0805_2012Metric",232.500000,-251.500000,90.000000,top
"C1004","10uF","Cap_0805_2012Metric",237.500000,-251.500000,90.000000,top
"C1005","10uF","Cap_0805_2012Metric",242.500000,-251.500000,90.000000,top
"C1006","10uF","Cap_0805_2012Metric",247.500000,-251.500000,90.000000,top
"C1007","10uF","Cap_0805_2012Metric",252.500000,-251.500000,90.000000,top
"C1008","10uF","Cap_0805_2012Metric",257.500000,-251.500000,90.000000,top
"C1009","10uF","Cap_0805_2012Metric",262.500000,-251.500000,90.000000,top
"C1010","10uF","Cap_0805_2012Metric",267.500000,-251.500000,90.000000,top
"C1011","10uF","Cap_0805_2012Metric",272.500000,-251.500000,90.000000,top
"C1012","10uF","Cap_0805_2012Metric",277.500000,-251.500000,90.000000,top
"C1013","10uF","Cap_0805_2012Metric",222.500000,-247.500000,90.000000,top
"C1014","10uF","Cap_0805_2012Metric",227.500000,-247.500000,90.000000,top
"C1015","10uF","Cap_0805_2012Metric",232.500000,-247.500000,90.000000,top
"C1016","10uF","Cap_0805_2012Metric",237.500000,-247.500000,90.000000,top
"C1017","10uF","Cap_0805_2012Metric",242.500000,-247.500000,90.000000,top
"C1018","10uF","Cap_0805_2012Metric",247.500000,-247.500000,90.000000,top
"C1019","10uF","Cap_0805_2012Metric",252.500000,-247.500000,90.000000,top
"C1020","10uF","Cap_0805_2012Metric",257.500000,-247.500000,90.000000,top
"C1021","10uF","Cap_0805_2012Metric",262.500000,-247.500000,90.000000,top
"C1022","10uF","Cap_0805_2012Metric",267.500000,-247.500000,90.000000,top
"C1023","10uF","Cap_0805_2012Metric",272.500000,-247.500000,90.000000,top
"C1024","10uF","Cap_0805_2012Metric",277.500000,-247.500000,90.000000,top
"C1025","10uF","Cap_0805_2012Metric",222.500000,-338.500000,90.000000,top
"C1026","10uF","Cap_0805_2012Metric",227.500000,-338.500000,90.000000,top
"C1027","10uF","Cap_0805_2012Metric",232.500000,-338.500000,90.000000,top
"C1028","10uF","Cap_0805_2012Metric",237.500000,-338.500000,90.000000,top
"C1029","10uF","Cap_0805_2012Metric",242.500000,-338.500000,90.000000,top
"C1030","10uF","Cap_0805_2012Metric",247.500000,-338.500000,90.000000,top
"C1031","10uF","Cap_0805_2012Metric",252.500000,-338.500000,90.000000,top
"C1032","10uF","Cap_0805_2012Metric",257.500000,-338.500000,90.000000,top
"C1033","10uF","Cap_0805_2012Metric",262.500000,-338.500000,90.000000,top
"C1034","10uF","Cap_0805_2012Metric",267.500000,-338.500000,90.000000,top
"C1035","10uF","Cap_0805_2012Metric",272.500000,-338.500000,90.000000,top
"C1036","10uF","Cap_0805_2012Metric",277.500000,-338.500000,90.000000,top
"C1037","10uF","Cap_0805_2012Metric",222.500000,-342.500000,90.000000,top
"C1038","10uF","Cap_0805_2012Metric",227.500000,-342.500000,90.000000,top
"C1039","10uF","Cap_0805_2012Metric",232.500000,-342.500000,90.000000,top
"C1040","10uF","Cap_0805_2012Metric",237.500000,-342.500000,90.000000,top
"C1041","10uF","Cap_0805_2012Metric",242.500000,-342.500000,90.000000,top
"C1042","10uF","Cap_0805_2012Metric",247.500000,-342.500000,90.000000,top
"C1043","10uF","Cap_0805_2012Metric",252.500000,-342.500000,90.000000,top
"C1044","10uF","Cap_0805_2012Metric",257.500000,-342.500000,90.000000,top
"C1045","10uF","Cap_0805_2012Metric",262.500000,-342.500000,90.000000,top
"C1046","10uF","Cap_0805_2012Metric",267.500000,-342.500000,90.000000,top
"C1047","10uF","Cap_0805_2012Metric",272.500000,-342.500000,90.000000,top
"C1048","10uF","Cap_0805_2012Metric",277.500000,-342.500000,90.000000,top
"C1049","10uF","Cap_0805_2012Metric",293.500000,-267.500000,0.000000,top
"C1050","10uF","Cap_0805_2012Metric",293.500000,-272.500000,0.000000,top
"C1051","10uF","Cap_0805_2012Metric",293.500000,-277.500000,0.000000,top
"C1052","10uF","Cap_0805_2012Metric",293.500000,-282.500000,0.000000,top
"C1053","10uF","Cap_0805_2012Metric",293.500000,-287.500000,0.000000,top
"C1054","10uF","Cap_0805_2012Metric",293.500000,-292.500000,0.000000,top
"C1055","10uF","Cap_0805_2012Metric",293.500000,-297.500000,0.000000,top
"C1056","10uF","Cap_0805_2012Metric",293.500000,-302.500000,0.000000,top
"C1057","10uF","Cap_0805_2012Metric",293.500000,-307.500000,0.000000,top
"C1058","10uF","Cap_0805_2012Metric",293.500000,-312.500000,0.000000,top
"C1059","10uF","Cap_0805_2012Metric",293.500000,-317.500000,0.000000,top
"C1060","10uF","Cap_0805_2012Metric",293.500000,-322.500000,0.000000,top
"C1061","10uF","Cap_0805_2012Metric",297.500000,-267.500000,0.000000,top
