Signal,Direction,Description,NetClass
DQ0,i/o,Data byte 0 bit 0,DDR5_Data
DQ1,i/o,Data byte 0 bit 1,DDR5_Data
DQ2,i/o,Data byte 0 bit 2,DDR5_Data
DQ3,i/o,Data byte 0 bit 3,DDR5_Data
DQ4,i/o,Data byte 0 bit 4,DDR5_Data
DQ5,i/o,Data byte 0 bit 5,DDR5_Data
DQ6,i/o,Data byte 0 bit 6,DDR5_Data
DQ7,i/o,Data byte 0 bit 7,DDR5_Data
DQS0_t,i/o,Byte 0 strobe +,DDR5_Data
DQS0_c,i/o,Byte 0 strobe −,DDR5_Data
DM0,in,Byte 0 data mask,DDR5_Data
DQ8,i/o,Data byte 1 bit 0,DDR5_Data
DQ9,i/o,Data byte 1 bit 1,DDR5_Data
DQ10,i/o,Data byte 1 bit 2,DDR5_Data
DQ11,i/o,Data byte 1 bit 3,DDR5_Data
DQ12,i/o,Data byte 1 bit 4,DDR5_Data
DQ13,i/o,Data byte 1 bit 5,DDR5_Data
DQ14,i/o,Data byte 1 bit 6,DDR5_Data
DQ15,i/o,Data byte 1 bit 7,DDR5_Data
DQS1_t,i/o,Byte 1 strobe +,DDR5_Data
DQS1_c,i/o,Byte 1 strobe −,DDR5_Data
DM1,in,Byte 1 data mask,DDR5_Data
DQ16,i/o,Data byte 2 bit 0,DDR5_Data
DQ17,i/o,Data byte 2 bit 1,DDR5_Data
DQ18,i/o,Data byte 2 bit 2,DDR5_Data
DQ19,i/o,Data byte 2 bit 3,DDR5_Data
DQ20,i/o,Data byte 2 bit 4,DDR5_Data
DQ21,i/o,Data byte 2 bit 5,DDR5_Data
DQ22,i/o,Data byte 2 bit 6,DDR5_Data
DQ23,i/o,Data byte 2 bit 7,DDR5_Data
DQS2_t,i/o,Byte 2 strobe +,DDR5_Data
DQS2_c,i/o,Byte 2 strobe −,DDR5_Data
DM2,in,Byte 2 data mask,DDR5_Data
DQ24,i/o,Data byte 3 bit 0,DDR5_Data
DQ25,i/o,Data byte 3 bit 1,DDR5_Data
DQ26,i/o,Data byte 3 bit 2,DDR5_Data
DQ27,i/o,Data byte 3 bit 3,DDR5_Data
DQ28,i/o,Data byte 3 bit 4,DDR5_Data
DQ29,i/o,Data byte 3 bit 5,DDR5_Data
DQ30,i/o,Data byte 3 bit 6,DDR5_Data
DQ31,i/o,Data byte 3 bit 7,DDR5_Data
DQS3_t,i/o,Byte 3 strobe +,DDR5_Data
DQS3_c,i/o,Byte 3 strobe −,DDR5_Data
DM3,in,Byte 3 data mask,DDR5_Data
DQ32,i/o,Data byte 4 bit 0,DDR5_Data
DQ33,i/o,Data byte 4 bit 1,DDR5_Data
DQ34,i/o,Data byte 4 bit 2,DDR5_Data
DQ35,i/o,Data byte 4 bit 3,DDR5_Data
DQ36,i/o,Data byte 4 bit 4,DDR5_Data
DQ37,i/o,Data byte 4 bit 5,DDR5_Data
DQ38,i/o,Data byte 4 bit 6,DDR5_Data
DQ39,i/o,Data byte 4 bit 7,DDR5_Data
DQS4_t,i/o,Byte 4 strobe +,DDR5_Data
DQS4_c,i/o,Byte 4 strobe −,DDR5_Data
DM4,in,Byte 4 data mask,DDR5_Data
