Ref,Qty,Value,Footprint,Manufacturer,MPN,Distributor,DistributorPN,Package,Description,DNP,Notes
U101,1,LR-ASIC-A100,LightRail:BGA-2500_40x40mm_P0.8mm,LightRail AI,LR-ASIC-A100-B0,LightRail direct,LR-ASIC-A100-B0,"BGA-2500 (50x50, 0.8mm)","AI NCE Unit 0, BGA-2500, 800W TDP, HBM4 4-stack co-packaged, PCIe Gen6 x32, TFLN 16 lanes",,
U201,1,LR-ASIC-A100,LightRail:BGA-2500_40x40mm_P0.8mm,LightRail AI,LR-ASIC-A100-B0,LightRail direct,LR-ASIC-A100-B0,"BGA-2500 (50x50, 0.8mm)","AI NCE Unit 1, BGA-2500, 800W TDP, HBM4 4-stack co-packaged, PCIe Gen6 x32, TFLN 16 lanes",,
U102,1,TFLN-8CH-200G,LightRail:TFLN_PIC_Periphery,HyperLight,HL-TFLN-8CH-200G-PAM4,HyperLight direct,HL-TFLN-8CH-200G,Custom periphery carrier,"8-channel TFLN MZ modulator, 200G PAM4/ch, C-band (Unit 0)",,
U202,1,TFLN-8CH-200G,LightRail:TFLN_PIC_Periphery,HyperLight,HL-TFLN-8CH-200G-PAM4,HyperLight direct,HL-TFLN-8CH-200G,Custom periphery carrier,"8-channel TFLN MZ modulator, 200G PAM4/ch, C-band (Unit 1)",,
U107,1,PT6-Retimer,Package_BGA:BGA-325_17x17mm_Layout18x18_P1.0mm,Astera Labs,PT6-B0-325,Arrow,PT6-B0-325-T,BGA-325 1.0mm,"PCIe Gen 6 retimer, x16 (SoC 0)",,
U207,1,PT6-Retimer,Package_BGA:BGA-325_17x17mm_Layout18x18_P1.0mm,Astera Labs,PT6-B0-325,Arrow,PT6-B0-325-T,BGA-325 1.0mm,"PCIe Gen 6 retimer, x16 (SoC 1)",,
U301,1,ISL69260,Package_QFN:QFN-80-1EP_10x10mm_P0.4mm,Renesas,ISL69260IRAZ-T,Digi-Key,ISL69260IRAZ-T7-ND,QFN-80 1EP 10x10 0.4mm,"Digital multi-phase PWM controller, 16+8-phase (VRM Unit 0)",,
U350,1,ISL69260,Package_QFN:QFN-80-1EP_10x10mm_P0.4mm,Renesas,ISL69260IRAZ-T,Digi-Key,ISL69260IRAZ-T7-ND,QFN-80 1EP 10x10 0.4mm,"Digital multi-phase PWM controller, 16+8-phase (VRM Unit 1)",,
U302,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U303,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
U304,1,ISL99390,LightRail:DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ-T7A,Digi-Key,ISL99390FRZ-T7A-ND,PowerPAK 8x8 1EP,"90A Smart Power Stage (DrMOS), VRM Unit 0 phase",,
