Item,Designator,Quantity,Value,Footprint,Manufacturer,MPN,Distributor,DistributorPN,Package,Description,DNP
1,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
2,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
3,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
4,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
5,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
6,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
7,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
8,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
9,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
10,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
11,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
12,?,1,MountingHole:MountingHole_3.2mm_M3,M3 Mounting Hole,,,,,M3 Mounting Hole,,No
13,?,1,LightRail:NCE_BGA2500_40x40mm,BGA-2500,,,,,BGA-2500,,No
14,?,1,LightRail:NCE_BGA2500_40x40mm,BGA-2500,,,,,BGA-2500,,No
15,?,1,LightRail:TFLN_PIC_17x17mm,TFLN_PIC_17x17mm,,,,,TFLN_PIC_17x17mm,,No
16,?,1,LightRail:TFLN_PIC_17x17mm,TFLN_PIC_17x17mm,,,,,TFLN_PIC_17x17mm,,No
17,?,1,LightRail:DrMOS_PowerPAK_8x8mm,DrMOS_PowerPAK_8x8mm,Renesas,ISL99390FRZ,,,DrMOS_PowerPAK_8x8mm,DrMOS Power Stage 60A,No
