Designator,X-Coordinate,Y-Coordinate,Rotation,Layer
C1,110.000000,-125.000000,0.000000,Top
C2,112.500000,-125.000000,0.000000,Top
C3,115.000000,-125.000000,0.000000,Top
C4,117.500000,-125.000000,0.000000,Top
C5,120.000000,-125.000000,0.000000,Top
C6,122.500000,-125.000000,0.000000,Top
C7,125.000000,-125.000000,0.000000,Top
C8,127.500000,-125.000000,0.000000,Top
C9,130.000000,-125.000000,0.000000,Top
C10,132.500000,-125.000000,0.000000,Top
C11,135.000000,-125.000000,0.000000,Top
C12,137.500000,-125.000000,0.000000,Top
C13,140.000000,-125.000000,0.000000,Top
C14,142.500000,-125.000000,0.000000,Top
C15,145.000000,-125.000000,0.000000,Top
C16,147.500000,-125.000000,0.000000,Top
C17,150.000000,-125.000000,0.000000,Top
C18,152.500000,-125.000000,0.000000,Top
C19,155.000000,-125.000000,0.000000,Top
C20,157.500000,-125.000000,0.000000,Top
C21,110.000000,-122.500000,0.000000,Top
C22,112.500000,-122.500000,0.000000,Top
C23,115.000000,-122.500000,0.000000,Top
C24,117.500000,-122.500000,0.000000,Top
C25,120.000000,-122.500000,0.000000,Top
C26,122.500000,-122.500000,0.000000,Top
C27,125.000000,-122.500000,0.000000,Top
C28,127.500000,-122.500000,0.000000,Top
C29,130.000000,-122.500000,0.000000,Top
C30,132.500000,-122.500000,0.000000,Top
C31,135.000000,-122.500000,0.000000,Top
C32,137.500000,-122.500000,0.000000,Top
C33,140.000000,-122.500000,0.000000,Top
C34,142.500000,-122.500000,0.000000,Top
C35,145.000000,-122.500000,0.000000,Top
C36,147.500000,-122.500000,0.000000,Top
C37,150.000000,-122.500000,0.000000,Top
C38,152.500000,-122.500000,0.000000,Top
C39,155.000000,-122.500000,0.000000,Top
C40,157.500000,-122.500000,0.000000,Top
C41,110.000000,-120.000000,0.000000,Top
C42,112.500000,-120.000000,0.000000,Top
C43,115.000000,-120.000000,0.000000,Top
C44,117.500000,-120.000000,0.000000,Top
C45,120.000000,-120.000000,0.000000,Top
C46,122.500000,-120.000000,0.000000,Top
C47,125.000000,-120.000000,0.000000,Top
C48,127.500000,-120.000000,0.000000,Top
C49,130.000000,-120.000000,0.000000,Top
C50,132.500000,-120.000000,0.000000,Top
C51,135.000000,-120.000000,0.000000,Top
C52,137.500000,-120.000000,0.000000,Top
C53,140.000000,-120.000000,0.000000,Top
C54,142.500000,-120.000000,0.000000,Top
C55,145.000000,-120.000000,0.000000,Top
C56,147.500000,-120.000000,0.000000,Top
C57,150.000000,-120.000000,0.000000,Top
C58,152.500000,-120.000000,0.000000,Top
C59,155.000000,-120.000000,0.000000,Top
C60,157.500000,-120.000000,0.000000,Top
C61,110.000000,-117.500000,0.000000,Top
C62,112.500000,-117.500000,0.000000,Top
C63,115.000000,-117.500000,0.000000,Top
C64,117.500000,-117.500000,0.000000,Top
C65,120.000000,-117.500000,0.000000,Top
C66,122.500000,-117.500000,0.000000,Top
C67,125.000000,-117.500000,0.000000,Top
C68,127.500000,-117.500000,0.000000,Top
C69,130.000000,-117.500000,0.000000,Top
C70,132.500000,-117.500000,0.000000,Top
C71,135.000000,-117.500000,0.000000,Top
C72,137.500000,-117.500000,0.000000,Top
C73,140.000000,-117.500000,0.000000,Top
C74,142.500000,-117.500000,0.000000,Top
C75,145.000000,-117.500000,0.000000,Top
C76,147.500000,-117.500000,0.000000,Top
C77,150.000000,-117.500000,0.000000,Top
C78,152.500000,-117.500000,0.000000,Top
C79,155.000000,-117.500000,0.000000,Top
C80,157.500000,-117.500000,0.000000,Top
C81,110.000000,-115.000000,0.000000,Top
C82,112.500000,-115.000000,0.000000,Top
C83,115.000000,-115.000000,0.000000,Top
C84,117.500000,-115.000000,0.000000,Top
C85,120.000000,-115.000000,0.000000,Top
C86,122.500000,-115.000000,0.000000,Top
C87,125.000000,-115.000000,0.000000,Top
C88,127.500000,-115.000000,0.000000,Top
C89,130.000000,-115.000000,0.000000,Top
C90,132.500000,-115.000000,0.000000,Top
C91,135.000000,-115.000000,0.000000,Top
C92,137.500000,-115.000000,0.000000,Top
C93,140.000000,-115.000000,0.000000,Top
C94,142.500000,-115.000000,0.000000,Top
C95,145.000000,-115.000000,0.000000,Top
C96,147.500000,-115.000000,0.000000,Top
C97,150.000000,-115.000000,0.000000,Top
C98,152.500000,-115.000000,0.000000,Top
C99,155.000000,-115.000000,0.000000,Top
C100,157.500000,-115.000000,0.000000,Top
C101,110.000000,-112.500000,0.000000,Top
C102,112.500000,-112.500000,0.000000,Top
C103,115.000000,-112.500000,0.000000,Top
C104,117.500000,-112.500000,0.000000,Top
C105,120.000000,-112.500000,0.000000,Top
C106,122.500000,-112.500000,0.000000,Top
C107,125.000000,-112.500000,0.000000,Top
C108,127.500000,-112.500000,0.000000,Top
C109,130.000000,-112.500000,0.000000,Top
C110,132.500000,-112.500000,0.000000,Top
C111,135.000000,-112.500000,0.000000,Top
C112,137.500000,-112.500000,0.000000,Top
C113,140.000000,-112.500000,0.000000,Top
C114,142.500000,-112.500000,0.000000,Top
C115,145.000000,-112.500000,0.000000,Top
C116,147.500000,-112.500000,0.000000,Top
C117,150.000000,-112.500000,0.000000,Top
C118,152.500000,-112.500000,0.000000,Top
C119,155.000000,-112.500000,0.000000,Top
C120,157.500000,-112.500000,0.000000,Top
C121,110.000000,-202.500000,0.000000,Top
C122,112.500000,-202.500000,0.000000,Top
C123,115.000000,-202.500000,0.000000,Top
C124,117.500000,-202.500000,0.000000,Top
C125,120.000000,-202.500000,0.000000,Top
C126,122.500000,-202.500000,0.000000,Top
C127,125.000000,-202.500000,0.000000,Top
C128,127.500000,-202.500000,0.000000,Top
C129,130.000000,-202.500000,0.000000,Top
C130,132.500000,-202.500000,0.000000,Top
C131,135.000000,-202.500000,0.000000,Top
C132,137.500000,-202.500000,0.000000,Top
C133,140.000000,-202.500000,0.000000,Top
C134,142.500000,-202.500000,0.000000,Top
C135,145.000000,-202.500000,0.000000,Top
C136,147.500000,-202.500000,0.000000,Top
C137,150.000000,-202.500000,0.000000,Top
C138,152.500000,-202.500000,0.000000,Top
C139,155.000000,-202.500000,0.000000,Top
C140,157.500000,-202.500000,0.000000,Top
C141,110.000000,-205.000000,0.000000,Top
C142,112.500000,-205.000000,0.000000,Top
C143,115.000000,-205.000000,0.000000,Top
C144,117.500000,-205.000000,0.000000,Top
C145,120.000000,-205.000000,0.000000,Top
C146,122.500000,-205.000000,0.000000,Top
C147,125.000000,-205.000000,0.000000,Top
C148,127.500000,-205.000000,0.000000,Top
C149,130.000000,-205.000000,0.000000,Top
C150,132.500000,-205.000000,0.000000,Top
C151,135.000000,-205.000000,0.000000,Top
C152,137.500000,-205.000000,0.000000,Top
C153,140.000000,-205.000000,0.000000,Top
C154,142.500000,-205.000000,0.000000,Top
C155,145.000000,-205.000000,0.000000,Top
C156,147.500000,-205.000000,0.000000,Top
C157,150.000000,-205.000000,0.000000,Top
C158,152.500000,-205.000000,0.000000,Top
C159,155.000000,-205.000000,0.000000,Top
C160,157.500000,-205.000000,0.000000,Top
C161,110.000000,-207.500000,0.000000,Top
C162,112.500000,-207.500000,0.000000,Top
C163,115.000000,-207.500000,0.000000,Top
C164,117.500000,-207.500000,0.000000,Top
C165,120.000000,-207.500000,0.000000,Top
C166,122.500000,-207.500000,0.000000,Top
C167,125.000000,-207.500000,0.000000,Top
C168,127.500000,-207.500000,0.000000,Top
C169,130.000000,-207.500000,0.000000,Top
C170,132.500000,-207.500000,0.000000,Top
C171,135.000000,-207.500000,0.000000,Top
C172,137.500000,-207.500000,0.000000,Top
C173,140.000000,-207.500000,0.000000,Top
C174,142.500000,-207.500000,0.000000,Top
C175,145.000000,-207.500000,0.000000,Top
C176,147.500000,-207.500000,0.000000,Top
C177,150.000000,-207.500000,0.000000,Top
C178,152.500000,-207.500000,0.000000,Top
C179,155.000000,-207.500000,0.000000,Top
C180,157.500000,-207.500000,0.000000,Top
C181,100.000000,-145.000000,90.000000,Top
C182,97.000000,-145.000000,90.000000,Top
C183,94.000000,-145.000000,90.000000,Top
C184,100.000000,-147.500000,90.000000,Top
C185,97.000000,-147.500000,90.000000,Top
C186,94.000000,-147.500000,90.000000,Top
C187,100.000000,-150.000000,90.000000,Top
C188,97.000000,-150.000000,90.000000,Top
C189,94.000000,-150.000000,90.000000,Top
