Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1.0x0.5","C_passive",110.000000,-125.000000,0.000000,top
"C2","1.0x0.5","C_passive",112.500000,-125.000000,0.000000,top
"C3","1.0x0.5","C_passive",115.000000,-125.000000,0.000000,top
"C4","1.0x0.5","C_passive",117.500000,-125.000000,0.000000,top
"C5","1.0x0.5","C_passive",120.000000,-125.000000,0.000000,top
"C6","1.0x0.5","C_passive",122.500000,-125.000000,0.000000,top
"C7","1.0x0.5","C_passive",125.000000,-125.000000,0.000000,top
"C8","1.0x0.5","C_passive",127.500000,-125.000000,0.000000,top
"C9","1.0x0.5","C_passive",130.000000,-125.000000,0.000000,top
"C10","1.0x0.5","C_passive",132.500000,-125.000000,0.000000,top
"C11","1.0x0.5","C_passive",135.000000,-125.000000,0.000000,top
"C12","1.0x0.5","C_passive",137.500000,-125.000000,0.000000,top
"C13","1.0x0.5","C_passive",140.000000,-125.000000,0.000000,top
"C14","1.0x0.5","C_passive",142.500000,-125.000000,0.000000,top
"C15","1.0x0.5","C_passive",145.000000,-125.000000,0.000000,top
"C16","1.0x0.5","C_passive",147.500000,-125.000000,0.000000,top
"C17","1.0x0.5","C_passive",150.000000,-125.000000,0.000000,top
"C18","1.0x0.5","C_passive",152.500000,-125.000000,0.000000,top
"C19","1.0x0.5","C_passive",155.000000,-125.000000,0.000000,top
"C20","1.0x0.5","C_passive",157.500000,-125.000000,0.000000,top
"C21","1.0x0.5","C_passive",110.000000,-122.500000,0.000000,top
"C22","1.0x0.5","C_passive",112.500000,-122.500000,0.000000,top
"C23","1.0x0.5","C_passive",115.000000,-122.500000,0.000000,top
"C24","1.0x0.5","C_passive",117.500000,-122.500000,0.000000,top
"C25","1.0x0.5","C_passive",120.000000,-122.500000,0.000000,top
"C26","1.0x0.5","C_passive",122.500000,-122.500000,0.000000,top
"C27","1.0x0.5","C_passive",125.000000,-122.500000,0.000000,top
"C28","1.0x0.5","C_passive",127.500000,-122.500000,0.000000,top
"C29","1.0x0.5","C_passive",130.000000,-122.500000,0.000000,top
"C30","1.0x0.5","C_passive",132.500000,-122.500000,0.000000,top
"C31","1.0x0.5","C_passive",135.000000,-122.500000,0.000000,top
"C32","1.0x0.5","C_passive",137.500000,-122.500000,0.000000,top
"C33","1.0x0.5","C_passive",140.000000,-122.500000,0.000000,top
"C34","1.0x0.5","C_passive",142.500000,-122.500000,0.000000,top
"C35","1.0x0.5","C_passive",145.000000,-122.500000,0.000000,top
"C36","1.0x0.5","C_passive",147.500000,-122.500000,0.000000,top
"C37","1.0x0.5","C_passive",150.000000,-122.500000,0.000000,top
"C38","1.0x0.5","C_passive",152.500000,-122.500000,0.000000,top
"C39","1.0x0.5","C_passive",155.000000,-122.500000,0.000000,top
"C40","1.0x0.5","C_passive",157.500000,-122.500000,0.000000,top
"C41","1.0x0.5","C_passive",110.000000,-120.000000,0.000000,top
"C42","1.0x0.5","C_passive",112.500000,-120.000000,0.000000,top
"C43","1.0x0.5","C_passive",115.000000,-120.000000,0.000000,top
"C44","1.0x0.5","C_passive",117.500000,-120.000000,0.000000,top
"C45","1.0x0.5","C_passive",120.000000,-120.000000,0.000000,top
"C46","1.0x0.5","C_passive",122.500000,-120.000000,0.000000,top
"C47","1.0x0.5","C_passive",125.000000,-120.000000,0.000000,top
"C48","1.0x0.5","C_passive",127.500000,-120.000000,0.000000,top
"C49","1.0x0.5","C_passive",130.000000,-120.000000,0.000000,top
"C50","1.0x0.5","C_passive",132.500000,-120.000000,0.000000,top
"C51","1.0x0.5","C_passive",135.000000,-120.000000,0.000000,top
"C52","1.0x0.5","C_passive",137.500000,-120.000000,0.000000,top
"C53","1.0x0.5","C_passive",140.000000,-120.000000,0.000000,top
"C54","1.0x0.5","C_passive",142.500000,-120.000000,0.000000,top
"C55","1.0x0.5","C_passive",145.000000,-120.000000,0.000000,top
"C56","1.0x0.5","C_passive",147.500000,-120.000000,0.000000,top
"C57","1.0x0.5","C_passive",150.000000,-120.000000,0.000000,top
"C58","1.0x0.5","C_passive",152.500000,-120.000000,0.000000,top
"C59","1.0x0.5","C_passive",155.000000,-120.000000,0.000000,top
"C60","1.0x0.5","C_passive",157.500000,-120.000000,0.000000,top
"C61","1.0x0.5","C_passive",110.000000,-117.500000,0.000000,top
"C62","1.0x0.5","C_passive",112.500000,-117.500000,0.000000,top
"C63","1.0x0.5","C_passive",115.000000,-117.500000,0.000000,top
"C64","1.0x0.5","C_passive",117.500000,-117.500000,0.000000,top
"C65","1.0x0.5","C_passive",120.000000,-117.500000,0.000000,top
"C66","1.0x0.5","C_passive",122.500000,-117.500000,0.000000,top
"C67","1.0x0.5","C_passive",125.000000,-117.500000,0.000000,top
"C68","1.0x0.5","C_passive",127.500000,-117.500000,0.000000,top
"C69","1.0x0.5","C_passive",130.000000,-117.500000,0.000000,top
"C70","1.0x0.5","C_passive",132.500000,-117.500000,0.000000,top
"C71","1.0x0.5","C_passive",135.000000,-117.500000,0.000000,top
"C72","1.0x0.5","C_passive",137.500000,-117.500000,0.000000,top
"C73","1.0x0.5","C_passive",140.000000,-117.500000,0.000000,top
"C74","1.0x0.5","C_passive",142.500000,-117.500000,0.000000,top
"C75","1.0x0.5","C_passive",145.000000,-117.500000,0.000000,top
"C76","1.0x0.5","C_passive",147.500000,-117.500000,0.000000,top
"C77","1.0x0.5","C_passive",150.000000,-117.500000,0.000000,top
"C78","1.0x0.5","C_passive",152.500000,-117.500000,0.000000,top
"C79","1.0x0.5","C_passive",155.000000,-117.500000,0.000000,top
"C80","1.0x0.5","C_passive",157.500000,-117.500000,0.000000,top
"C81","1.0x0.5","C_passive",110.000000,-115.000000,0.000000,top
"C82","1.0x0.5","C_passive",112.500000,-115.000000,0.000000,top
"C83","1.0x0.5","C_passive",115.000000,-115.000000,0.000000,top
"C84","1.0x0.5","C_passive",117.500000,-115.000000,0.000000,top
"C85","1.0x0.5","C_passive",120.000000,-115.000000,0.000000,top
"C86","1.0x0.5","C_passive",122.500000,-115.000000,0.000000,top
"C87","1.0x0.5","C_passive",125.000000,-115.000000,0.000000,top
"C88","1.0x0.5","C_passive",127.500000,-115.000000,0.000000,top
"C89","1.0x0.5","C_passive",130.000000,-115.000000,0.000000,top
"C90","1.0x0.5","C_passive",132.500000,-115.000000,0.000000,top
"C91","1.0x0.5","C_passive",135.000000,-115.000000,0.000000,top
"C92","1.0x0.5","C_passive",137.500000,-115.000000,0.000000,top
"C93","1.0x0.5","C_passive",140.000000,-115.000000,0.000000,top
"C94","1.0x0.5","C_passive",142.500000,-115.000000,0.000000,top
"C95","1.0x0.5","C_passive",145.000000,-115.000000,0.000000,top
"C96","1.0x0.5","C_passive",147.500000,-115.000000,0.000000,top
"C97","1.0x0.5","C_passive",150.000000,-115.000000,0.000000,top
"C98","1.0x0.5","C_passive",152.500000,-115.000000,0.000000,top
"C99","1.0x0.5","C_passive",155.000000,-115.000000,0.000000,top
"C100","1.0x0.5","C_passive",157.500000,-115.000000,0.000000,top
"C101","1.0x0.5","C_passive",110.000000,-112.500000,0.000000,top
"C102","1.0x0.5","C_passive",112.500000,-112.500000,0.000000,top
"C103","1.0x0.5","C_passive",115.000000,-112.500000,0.000000,top
"C104","1.0x0.5","C_passive",117.500000,-112.500000,0.000000,top
"C105","1.0x0.5","C_passive",120.000000,-112.500000,0.000000,top
"C106","1.0x0.5","C_passive",122.500000,-112.500000,0.000000,top
"C107","1.0x0.5","C_passive",125.000000,-112.500000,0.000000,top
"C108","1.0x0.5","C_passive",127.500000,-112.500000,0.000000,top
"C109","1.0x0.5","C_passive",130.000000,-112.500000,0.000000,top
"C110","1.0x0.5","C_passive",132.500000,-112.500000,0.000000,top
"C111","1.0x0.5","C_passive",135.000000,-112.500000,0.000000,top
"C112","1.0x0.5","C_passive",137.500000,-112.500000,0.000000,top
"C113","1.0x0.5","C_passive",140.000000,-112.500000,0.000000,top
"C114","1.0x0.5","C_passive",142.500000,-112.500000,0.000000,top
"C115","1.0x0.5","C_passive",145.000000,-112.500000,0.000000,top
"C116","1.0x0.5","C_passive",147.500000,-112.500000,0.000000,top
"C117","1.0x0.5","C_passive",150.000000,-112.500000,0.000000,top
"C118","1.0x0.5","C_passive",152.500000,-112.500000,0.000000,top
"C119","1.0x0.5","C_passive",155.000000,-112.500000,0.000000,top
"C120","1.0x0.5","C_passive",157.500000,-112.500000,0.000000,top
"C121","1.0x0.5","C_passive",110.000000,-202.500000,0.000000,top
"C122","1.0x0.5","C_passive",112.500000,-202.500000,0.000000,top
"C123","1.0x0.5","C_passive",115.000000,-202.500000,0.000000,top
"C124","1.0x0.5","C_passive",117.500000,-202.500000,0.000000,top
"C125","1.0x0.5","C_passive",120.000000,-202.500000,0.000000,top
"C126","1.0x0.5","C_passive",122.500000,-202.500000,0.000000,top
"C127","1.0x0.5","C_passive",125.000000,-202.500000,0.000000,top
"C128","1.0x0.5","C_passive",127.500000,-202.500000,0.000000,top
"C129","1.0x0.5","C_passive",130.000000,-202.500000,0.000000,top
"C130","1.0x0.5","C_passive",132.500000,-202.500000,0.000000,top
"C131","1.0x0.5","C_passive",135.000000,-202.500000,0.000000,top
"C132","1.0x0.5","C_passive",137.500000,-202.500000,0.000000,top
"C133","1.0x0.5","C_passive",140.000000,-202.500000,0.000000,top
"C134","1.0x0.5","C_passive",142.500000,-202.500000,0.000000,top
"C135","1.0x0.5","C_passive",145.000000,-202.500000,0.000000,top
"C136","1.0x0.5","C_passive",147.500000,-202.500000,0.000000,top
"C137","1.0x0.5","C_passive",150.000000,-202.500000,0.000000,top
"C138","1.0x0.5","C_passive",152.500000,-202.500000,0.000000,top
"C139","1.0x0.5","C_passive",155.000000,-202.500000,0.000000,top
"C140","1.0x0.5","C_passive",157.500000,-202.500000,0.000000,top
"C141","1.0x0.5","C_passive",110.000000,-205.000000,0.000000,top
"C142","1.0x0.5","C_passive",112.500000,-205.000000,0.000000,top
"C143","1.0x0.5","C_passive",115.000000,-205.000000,0.000000,top
"C144","1.0x0.5","C_passive",117.500000,-205.000000,0.000000,top
"C145","1.0x0.5","C_passive",120.000000,-205.000000,0.000000,top
"C146","1.0x0.5","C_passive",122.500000,-205.000000,0.000000,top
"C147","1.0x0.5","C_passive",125.000000,-205.000000,0.000000,top
"C148","1.0x0.5","C_passive",127.500000,-205.000000,0.000000,top
